time,{dmodel}.dmodel.movediscrete,{dmodel}.dmodel.pick,{dmodel}.dmodel.place,{dmodel}.dmodel.target_X,{dmodel}.dmodel.target_Y,{dmodel}.dmodel.target_Z,{dmodel}.dmodel.closing_diameter,{dmodel}.dmodel.closing_speed,{dmodel}.dmodel.closing_force,{dmodel}.dmodel.opening_diameter,{dmodel}.dmodel.opening_speed,{dmodel}.dmodel.opening_force,{dmodel}.dmodel.stop,{dmodel}.dmodel.movejoint,{dmodel}.dmodel.target_q0,{dmodel}.dmodel.target_q1,{dmodel}.dmodel.target_q2,{dmodel}.dmodel.target_q3,{dmodel}.dmodel.target_q4,{dmodel}.dmodel.target_q5,{dmodel}.dmodel.movecartesian,{dmodel}.dmodel.target_x,{dmodel}.dmodel.target_y,{dmodel}.dmodel.target_z,{dmodel}.dmodel.target_rx,{dmodel}.dmodel.target_ry,{dmodel}.dmodel.target_rz,{dmodel}.dmodel.setvelocity,{dmodel}.dmodel.target_v,{dmodel}.dmodel.state,{mapping}.mapping.feasibleMoveDiscreteCommand,{mapping}.mapping.robotStopped,{mapping}.mapping.gripperOpened,{mapping}.mapping.collision,{mapping}.mapping.gripperClosed,{mapping}.mapping.nonfeasibleMoveDiscreteCommand,{mapping}.mapping.moveCompleted,{mapping}.mapping.q0,{mapping}.mapping.q1,{mapping}.mapping.q2,{mapping}.mapping.q3,{mapping}.mapping.q4,{mapping}.mapping.q5,{mapping}.mapping.qd0,{mapping}.mapping.qd1,{mapping}.mapping.qd2,{mapping}.mapping.qd3,{mapping}.mapping.qd4,{mapping}.mapping.qd5,{mapping}.mapping.qdd0,{mapping}.mapping.qdd1,{mapping}.mapping.qdd2,{mapping}.mapping.qdd3,{mapping}.mapping.qdd4,{mapping}.mapping.qdd5,{mapping}.mapping.t0,{mapping}.mapping.t1,{mapping}.mapping.t2,{mapping}.mapping.t3,{mapping}.mapping.t4,{mapping}.mapping.t5,{rmqfmu}.rmqfmu.closeGripperCommand,{rmqfmu}.rmqfmu.openGripperCommand,{rmqfmu}.rmqfmu.moveDiscreteCommand,{rmqfmu}.rmqfmu.MovementArgs_target_X,{rmqfmu}.rmqfmu.MovementArgs_target_Y,{rmqfmu}.rmqfmu.MovementArgs_target_Z
0.0,false,false,false,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,,false,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,0,0,0
0.5,false,false,false,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,,false,false,true,false,false,false,false,-1.176269492538955,-1.1776348754296677,1.1780679522724826,-1.1780606305816477,-1.1780700644380024,1.1780680676030721,-1.570747017719397,-1.570754177479826,1.5707580703466548,-1.5707520427344677,-1.5707648195895971,1.5707662826095246,0.0,0.0,0.0,0.0,0.0,0.0,5.049085072288696,10.42314393777869,1.753880035781323,-2.9696652553992555,1.5013973219391372,-3.928067802796663,false,false,false,0,0,0
1.0,false,false,false,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,,false,false,true,false,false,false,false,-1.5620002237536266,-1.5701743485873667,1.570757473028423,-1.5707488429764078,-1.5433989000175234,1.5707595781164825,-1.036953573740207,-0.5372787107072455,1.5707514618354403,-1.5707814305376269,-0.21228488018927746,1.5707454601523787,0.0,0.0,0.0,0.0,0.0,0.0,-77.08726406498982,-98.50435510883793,-23.666898129864606,-20.689818343059756,-6.402034779944596,-0.1244944203825928,false,false,false,0,0,0
1.5,false,false,false,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,,false,false,true,false,false,false,false,-1.6084167021332787,-1.6391578342670607,1.8665562216885654,-1.8028740626910604,-1.5707470610175331,2.04196593198379,-0.0018946250568419435,-0.002759074581426605,0.06477311332684503,-0.025720365224835555,-0.0010827857741091637,1.5705993890481886,0.0,0.0,0.0,0.0,0.0,0.0,-0.5257251456083976,15.190531264234545,11.801903040363573,4.288513471662329,0.00664926166690972,-8.670263095413606,false,false,false,0,0,0
2.0,false,false,false,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,,false,false,true,false,false,false,true,-1.6086608244187897,-1.6395149177223471,1.8749156806349667,-1.8061963244678454,-1.570796306430573,2.9057697244878256,9.434345749071073E-6,6.249898252264207E-5,2.0916832710327516E-7,1.251821471370844E-4,1.4128200831465012E-5,1.5706706760143854,0.0,0.0,0.0,0.0,0.0,0.0,-0.0025265652761558345,8.624365407607188,5.031860960499564,0.17992069513469586,1.6477932351599556E-5,3.101201831573896,false,false,true,0,1,2
2.5,true,false,false,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove,false,true,true,false,false,false,true,-1.608660739447064,-1.6395150244266716,1.8749157580558684,-1.8061966239709824,-1.5707963416130282,3.1037273461928176,1.2612133559742047E-10,2.9791280553582237E-9,0.0,-3.197442310920519E-12,0.0,5.329070518200865E-13,0.0,0.0,0.0,0.0,0.0,0.0,0.010085600796261062,8.622738032665461,5.030963393015856,0.17898372221568457,9.883544717964436E-5,-0.17895785130205386,false,false,false,0,0,0
3.0,true,false,false,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove,false,true,true,false,false,false,true,-1.6086607394606478,-1.6395150241555312,1.8749157580558675,-1.8061966239709957,-1.5707963383630972,3.1068461594255092,0.03695160139987132,1.5706850508731998,-1.5707500066954319,0.021819260915024084,-1.1550582712516435E-7,0.03709853443858514,0.0,0.0,0.0,0.0,0.0,0.0,-1.2808614262327969,34.97816548641914,3.6928043077882498,-0.571610466800569,-2.74647186063677E-5,-0.3837302666433739,false,false,false,0,0,0
3.5,true,false,false,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove,true,true,true,false,false,false,true,-1.6038731442406329,-1.4731668192063507,1.705747697999315,-1.8033752185392204,-1.5707963407047005,3.108515858317438,-1.9923195537785855E-6,-7.201822089797514E-5,0.0,5.552268067532514E-5,3.0389202265724373E-8,2.833286494308201E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.5474353352814538,10.52910666393194,5.0366312697167155,0.18446579305784477,9.021167860370714E-5,-0.397227458009871,false,false,false,0,0,0
4.0,true,false,false,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove,true,true,true,false,false,false,true,-1.6038731514998394,-1.473166751151025,1.705747697999314,-1.8033729266123126,-1.5707963427305236,3.108515883869514,1.4776512458070417E-6,5.3992883231047714E-5,0.0,1.467039945524138E-4,-1.3586323177605952E-7,3.5749053495238366E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.9239903497951847,10.5232035935226,5.0285092405552865,0.1741138992340253,8.84119808709955E-5,-0.42364074898374915,false,false,false,0,0,0
4.5,true,false,false,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-1.6038731602299148,-1.4731662873871212,1.7057476979993131,-1.8033731315991561,-1.5707963428267986,3.10851591295918,-2.126955322978242E-6,-8.279216867633592E-5,-1.7763568393999728E-13,1.4807387742619044E-4,-1.8271268942268634E-7,2.0061404981671834E-6,0.0,0.0,0.0,0.0,0.0,0.0,-0.1346008681338459,10.523420520404958,5.03074910359493,0.17858969875106917,1.1712434681648764E-4,-0.43777590171170433,false,false,false,0,0,0
5.0,true,false,false,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-1.603873091061617,-1.473165957397729,1.7057476979993131,-1.803373099221929,-1.570796343026995,3.108515841424004,-1.0577743125848594E-7,-7.702890609805242E-5,0.0,-4.825709734034645E-5,9.311840187818597E-9,-3.18693018641575E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.04738493104566253,10.509601779520533,5.014800252447053,0.16050042471825457,1.002050245680798E-4,-0.41497558340452334,false,false,false,0,0,0
5.5,true,false,false,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-1.6038730982676315,-1.4731664844832162,1.705747697999314,-1.8033740645596579,-1.5707963422595412,3.1085158387658955,-2.958030265176141E-7,5.270820242485883E-5,0.0,8.804322249032781E-5,-6.973621680116413E-9,3.3717160619057E-6,0.0,0.0,0.0,0.0,0.0,0.0,-0.39448386137693026,10.537774518090302,5.043793166452074,0.18985736438398731,7.403926038360753E-5,-0.3980913127965053,false,false,false,0,0,0
6.0,true,false,false,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-1.60387316545913,-1.4731672076753286,1.705747697999314,-1.8033762870263272,-1.5707963399389673,3.108515831208144,-1.3223434791596199E-6,-3.2532907390242974E-5,0.0,-4.602824503762539E-5,-5.5521276465233726E-8,-2.902239870649738E-6,0.0,0.0,0.0,0.0,0.0,0.0,-0.807390596750498,10.538574847645865,5.028539034399464,0.1746156670136228,7.366197443823659E-5,-0.42279992210813466,false,false,false,0,0,0
6.5,true,false,false,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-1.6038731664314518,-1.473167176351244,1.705747697999314,-1.803376370614501,-1.5707963387681767,3.1085158294562634,2.627269068966187E-7,-7.383848945606797E-5,0.0,-1.7067610524887475E-4,1.2976606456047894E-7,-2.377048780033048E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.2991962029498284,10.552875939681844,5.052071927671928,0.1914811434802905,1.2909566418365035E-4,-0.40511671849539255,false,false,true,3,2,3
7.0,true,false,false,3,2,3,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove,true,true,true,false,false,false,true,-1.6038730938733279,-1.47316658328086,1.705747697999314,-1.8033746360128964,-1.5707963418121853,3.1085158640322037,4.086853522267933E-7,1.8411874336269672E-5,-1.776356839400604E-13,2.8005602992214903E-5,3.2985525422197695E-8,2.8103503524340473E-6,0.0,0.0,0.0,0.0,0.0,0.0,-0.22271577483646676,10.5200320767146,5.022231401915501,0.16488746987813035,1.237225836540647E-4,-0.41615454043387123,false,false,false,0,0,0
7.5,true,false,false,3,2,3,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-1.6796976339227063,-1.4356893468888865,1.627210323090437,-1.7248355988907615,-1.5707963047185869,2.9514346537990024,-1.5707433534536646,0.054205920346650185,-0.27754173057440407,0.12816847618568936,-3.36598411365752E-6,-0.2896302575250552,0.0,0.0,0.0,0.0,0.0,0.0,-53.391609015261125,3.3626287977968863,-3.8680000538325814,-1.6114544170726226,0.0234823284994797,0.19865415122200897,false,false,false,0,0,0
8.0,true,false,false,3,2,3,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-1.9412016075007896,-1.4156274845919414,1.4502212278614213,-1.6053894825543447,-1.5707963429624723,2.7711793244661598,-2.337685600651195E-10,6.36395824926821E-8,-1.776356839400604E-13,6.0396132539620536E-12,-1.776356839400604E-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006506632163751226,11.2867932780559,5.16556318503954,0.1789826333153977,9.88340895085994E-5,-1.6095673985501193,false,false,false,0,0,0
8.5,true,false,false,3,2,3,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-1.9412016075002905,-1.4156274855603508,1.450221227861415,-1.6053894825543829,-1.5707963429624714,2.771179324466144,-1.691091711109375E-10,-7.471925300707548E-8,1.776356839400604E-13,-3.907985046681329E-12,1.776356839400604E-13,-1.776356839400604E-13,0.0,0.0,0.0,0.0,0.0,0.0,0.014670306720598335,11.2867956126413,5.165564951862069,0.1789839071090925,9.883404580015288E-5,-1.6095673974591453,false,false,false,0,0,0
